@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
1621,'2020/12/17 22:37:22:630',2,166,-299,-42,-38,-48,-18,-6,-1,0,0,0,166,?
1622,'2020/12/17 22:37:22:646',2,2,30,-38,-48,-18,-6,-1,0,0,0,166,2,?
1623,'2020/12/17 22:37:22:663',2,2,43,-48,-18,-6,-1,0,0,0,166,2,2,?
1624,'2020/12/17 22:37:22:679',2,2,48,-18,-6,-1,0,0,0,166,2,2,2,?
1625,'2020/12/17 22:37:22:697',2,-1,40,-6,-1,0,0,0,166,2,2,2,-1,?
1626,'2020/12/17 22:37:22:712',2,-1,48,-1,0,0,0,166,2,2,2,-1,-1,?
1627,'2020/12/17 22:37:22:728',2,3,20,0,0,0,166,2,2,2,-1,-1,3,?
1628,'2020/12/17 22:37:22:745',2,1,10,0,0,166,2,2,2,-1,-1,3,1,?
1629,'2020/12/17 22:37:22:763',2,0,0,0,166,2,2,2,-1,-1,3,1,0,?
1630,'2020/12/17 22:37:22:779',2,0,0,166,2,2,2,-1,-1,3,1,0,0,?
1631,'2020/12/17 22:37:22:796',2,-1,-2,2,2,2,-1,-1,3,1,0,0,-1,?
1632,'2020/12/17 22:37:22:812',2,-5,-34,2,2,-1,-1,3,1,0,0,-1,-5,?
1633,'2020/12/17 22:37:22:829',2,0,-41,2,-1,-1,3,1,0,0,-1,-5,0,?
1634,'2020/12/17 22:37:22:846',2,-1,-50,-1,-1,3,1,0,0,-1,-5,0,-1,?
1635,'2020/12/17 22:37:22:862',2,-5,-49,-1,3,1,0,0,-1,-5,0,-1,-5,?
1636,'2020/12/17 22:37:22:879',2,-5,-41,3,1,0,0,-1,-5,0,-1,-5,-5,?
1637,'2020/12/17 22:37:22:895',2,-2,-29,1,0,0,-1,-5,0,-1,-5,-5,-2,?
1638,'2020/12/17 22:37:22:913',2,0,-16,0,0,-1,-5,0,-1,-5,-5,-2,0,?
1639,'2020/12/17 22:37:22:929',2,0,-3,0,-1,-5,0,-1,-5,-5,-2,0,0,?
1640,'2020/12/17 22:37:22:945',2,0,0,-1,-5,0,-1,-5,-5,-2,0,0,0,?
1641,'2020/12/17 22:37:22:962',2,0,4,-5,0,-1,-5,-5,-2,0,0,0,0,?
1642,'2020/12/17 22:37:22:979',2,-2,22,0,-1,-5,-5,-2,0,0,0,0,-2,?
1643,'2020/12/17 22:37:22:995',2,-2,38,-1,-5,-5,-2,0,0,0,0,-2,-2,?
1644,'2020/12/17 22:37:23:012',2,3,48,-5,-5,-2,0,0,0,0,-2,-2,3,?
1645,'2020/12/17 22:37:23:028',2,-1,53,-5,-2,0,0,0,0,-2,-2,3,-1,?
1646,'2020/12/17 22:37:23:045',2,-3,47,-2,0,0,0,0,-2,-2,3,-1,-3,?
1647,'2020/12/17 22:37:23:063',2,-3,38,0,0,0,0,-2,-2,3,-1,-3,-3,?
1648,'2020/12/17 22:37:23:079',2,3,34,0,0,0,-2,-2,3,-1,-3,-3,3,?
1649,'2020/12/17 22:37:23:095',2,1,4,0,0,-2,-2,3,-1,-3,-3,3,1,?
1650,'2020/12/17 22:37:23:113',2,0,0,0,-2,-2,3,-1,-3,-3,3,1,0,?
1651,'2020/12/17 22:37:23:129',2,-1,-3,-2,-2,3,-1,-3,-3,3,1,0,-1,?
1652,'2020/12/17 22:37:23:145',2,-4,-20,-2,3,-1,-3,-3,3,1,0,-1,-4,?
1653,'2020/12/17 22:37:23:162',2,-1,-35,3,-1,-3,-3,3,1,0,-1,-4,-1,?
1654,'2020/12/17 22:37:23:179',2,2,-46,-1,-3,-3,3,1,0,-1,-4,-1,2,?
1655,'2020/12/17 22:37:23:196',2,0,-53,-3,-3,3,1,0,-1,-4,-1,2,0,?
1656,'2020/12/17 22:37:23:212',2,-3,-50,-3,3,1,0,-1,-4,-1,2,0,-3,?
1657,'2020/12/17 22:37:23:229',2,1,-39,3,1,0,-1,-4,-1,2,0,-3,1,?
1658,'2020/12/17 22:37:23:245',2,4,-25,1,0,-1,-4,-1,2,0,-3,1,4,?
1659,'2020/12/17 22:37:23:262',2,1,-9,0,-1,-4,-1,2,0,-3,1,4,1,?
1660,'2020/12/17 22:37:23:278',2,0,0,-1,-4,-1,2,0,-3,1,4,1,0,?
1661,'2020/12/17 22:37:23:296',2,0,0,-4,-1,2,0,-3,1,4,1,0,0,?
1662,'2020/12/17 22:37:23:311',2,-2,21,-1,2,0,-3,1,4,1,0,0,-2,?
1663,'2020/12/17 22:37:23:329',2,-2,19,2,0,-3,1,4,1,0,0,-2,-2,?
1664,'2020/12/17 22:37:23:346',2,-3,81,0,-3,1,4,1,0,0,-2,-2,-3,?
1665,'2020/12/17 22:37:23:362',2,-7,65,-3,1,4,1,0,0,-2,-2,-3,-7,?
1666,'2020/12/17 22:37:23:379',2,-5,53,1,4,1,0,0,-2,-2,-3,-7,-5,?
1667,'2020/12/17 22:37:23:396',2,-1,33,4,1,0,0,-2,-2,-3,-7,-5,-1,?
1668,'2020/12/17 22:37:23:411',2,3,8,1,0,0,-2,-2,-3,-7,-5,-1,3,?
1669,'2020/12/17 22:37:23:428',2,0,0,0,0,-2,-2,-3,-7,-5,-1,3,0,?
